fecha,remesas_total
1995-01,254.5724
1995-02,248.0605
1995-03,287.3645
1995-04,298.9135
1995-05,357.7396
1995-06,352.3695
1995-07,342.8993
1995-08,362.2739
1995-09,314.1492
1995-10,324.5033
1995-11,255.5922
1995-12,274.2883
1996-01,313.5091
1996-02,281.9257
1996-03,337.3185
1996-04,393.3877
1996-05,413.542
1996-06,365.2451
1996-07,373.6705
1996-08,386.0666
1996-09,339.2533
1996-10,348.901
1996-11,315.6016
1996-12,355.2609
1997-01,338.6477
1997-02,331.5918
1997-03,381.9072
1997-04,425.5386
1997-05,486.6894
1997-06,453.5596
1997-07,441.6863
1997-08,428.9022
1997-09,431.4678
1997-10,421.6681
1997-11,343.4307
1997-12,379.755
1998-01,382.5317
1998-02,366.3982
1998-03,427.1949
1998-04,439.995
1998-05,520.3739
1998-06,503.4876
1998-07,494.3256
1998-08,486.607
1998-09,476.2905
1998-10,454.6739
1998-11,460.6924
1998-12,614.271
1999-01,399.6423
1999-02,388.8511
1999-03,464.8977
1999-04,469.1828
1999-05,571.562
1999-06,521.9225
1999-07,506.6642
1999-08,532.0997
1999-09,490.4829
1999-10,474.5069
1999-11,502.0073
1999-12,587.7353
2000-01,456.2456
2000-02,447.187
2000-03,494.4502
2000-04,498.8308
2000-05,590.7496
2000-06,541.5775
2000-07,557.598
2000-08,608.0612
2000-09,568.5493
2000-10,559.5235
2000-11,583.1218
2000-12,666.8485
2001-01,654.982
2001-02,637.6737
2001-03,718.055
2001-04,734.8058
2001-05,798.2438
2001-06,747.837
2001-07,796.5951
2001-08,789.3075
2001-09,772.0803
2001-10,792.8295
2001-11,693.8224
2001-12,759.0318
2002-01,711.043
2002-02,718.865
2002-03,744.527
2002-04,805.872
2002-05,912.205
2002-06,860.003
2002-07,843.0738
2002-08,849.1376
2002-09,860.5997
2002-10,848.283
2002-11,741.438
2002-12,919.401
2003-01,1051.2547
2003-02,979.7597
2003-03,1139.1124
2003-04,1202.5097
2003-05,1350.9669
2003-06,1351.1707
2003-07,1361.362
2003-08,1401.2462
2003-09,1365.5085
2003-10,1391.0112
2003-11,1203.7084
2003-12,1341.0761
2004-01,1081.8635
2004-02,1171.7737
2004-03,1480.224
2004-04,1513.5151
2004-05,1770.3978
2004-06,1684.7248
2004-07,1654.376
2004-08,1786.8078
2004-09,1586.8407
2004-10,1529.9477
2004-11,1506.1644
2004-12,1565.1123
2005-01,1367.5563
2005-02,1428.377
2005-03,1691.5896
2005-04,1753.3032
2005-05,2057.2773
2005-06,1923.2802
2005-07,1840.3006
2005-08,2059.2229
2005-09,1885.9905
2005-10,1862.2776
2005-11,1886.9538
2005-12,1932.142
2006-01,1758.3057
2006-02,1823.1898
2006-03,2152.8362
2006-04,2072.7017
2006-05,2534.599
2006-06,2340.2623
2006-07,2191.6469
2006-08,2334.2835
2006-09,2140.9586
2006-10,2316.5244
2006-11,1962.802
2006-12,1938.7249
2007-01,1872.9292
2007-02,1856.7782
2007-03,2186.5239
2007-04,2166.564
2007-05,2480.6564
2007-06,2300.5755
2007-07,2469.4671
2007-08,2514.9439
2007-09,2284.105
2007-10,2465.5833
2007-11,2047.0797
2007-12,2050.7298
2008-01,1781.6996
2008-02,1942.0303
2008-03,2206.3771
2008-04,2278.089
2008-05,2477.9622
2008-06,2366.006
2008-07,2278.9294
2008-08,2198.5254
2008-09,2208.0883
2008-10,2759.2451
2008-11,1834.3372
2008-12,1853.9266
2009-01,1642.9594
2009-02,1890.6882
2009-03,2194.4479
2009-04,1867.0471
2009-05,1986.2721
2009-06,2007.8197
2009-07,1919.4754
2009-08,1864.1988
2009-09,1808.0308
2009-10,1756.2439
2009-11,1563.7409
2009-12,1622.8016
2010-01,1374.0619
2010-02,1610.3716
2010-03,2018.3173
2010-04,1853.3743
2010-05,2215.0434
2010-06,1954.6276
2010-07,1937.0854
2010-08,2022.7421
2010-09,1774.9577
2010-10,1784.3884
2010-11,1678.5798
2010-12,1767.7899
2011-01,1443.6509
2011-02,1701.9788
2011-03,2117.8914
2011-04,1939.8625
2011-05,2236.9868
2011-06,2089.4759
2011-07,1972.6129
2011-08,2216.8552
2011-09,2157.5537
2011-10,1976.2471
2011-11,1850.3941
2011-12,1843.8366
2012-01,1555.5014
2012-02,1852.2529
2012-03,2164.5087
2012-04,2104.2749
2012-05,2429.1369
2012-06,2167.6113
2012-07,1926.9582
2012-08,1967.1665
2012-09,1734.3221
2012-10,1848.5677
2012-11,1762.57
2012-12,1773.4016
2013-01,1588.9104
2013-02,1721.9287
2013-03,1935.7183
2013-04,2050.798
2013-05,2176.62
2013-06,2067.0878
2013-07,1945.4921
2013-08,2024.0101
2013-09,1890.4586
2013-10,1973.1587
2013-11,1796.2248
2013-12,1919.63
2014-01,1706.7546
2014-02,1788.209
2014-03,2182.6248
2014-04,2056.9042
2014-05,2234.0545
2014-06,2095.8672
2014-07,2051.0516
2014-08,2057.7782
2014-09,2015.0182
2014-10,2097.4737
2014-11,1824.4766
2014-12,2291.6336
2015-01,1671.4057
2015-02,1893.1655
2015-03,2305.4392
2015-04,2047.7711
2015-05,2247.4372
2015-06,2198.2765
2015-07,2288.9386
2015-08,2308.932
2015-09,2097.7903
2015-10,2131.7302
2015-11,1944.0834
2015-12,2241.5383
2016-01,1976.3992
2016-02,2123.221
2016-03,2235.7849
2016-04,2213.3934
2016-05,2532.8538
2016-06,2366.6498
2016-07,2306.0699
2016-08,2318.9361
2016-09,2441.427
2016-10,2273.9136
2016-11,2444.7874
2016-12,2397.7077
2017-01,2196.0865
2017-02,2191.0386
2017-03,2678.2118
2017-04,2449.3006
2017-05,2754.1658
2017-06,2609.611
2017-07,2663.0471
2017-08,2678.7156
2017-09,2550.7464
2017-10,2873.1654
2017-11,2473.8381
2017-12,2824.9873
2018-01,2308.8292
2018-02,2292.3587
2018-03,2730.9501
2018-04,2816.4145
2018-05,3232.3766
2018-06,3224.4911
2018-07,2930.1358
2018-08,2961.1494
2018-09,2796.1366
2018-10,3115.6072
2018-11,3005.4157
2018-12,3021.2516
2019-01,2527.5581
2019-02,2506.4369
2019-03,3038.1022
2019-04,3014.8781
2019-05,3387.2534
2019-06,3293.2442
2019-07,3371.3039
2019-08,3487.494
2019-09,3181.9307
2019-10,3238.0284
2019-11,3006.514
2019-12,3197.7419
2020-01,2676.6263
2020-02,2803.4988
2020-03,4147.1146
2020-04,2982.6531
2020-05,3541.8263
2020-06,3630.6225
2020-07,3629.1537
2020-08,3654.1707
2020-09,3673.8419
2020-10,3715.2525
2020-11,3491.9473
2020-12,3757.2255
2021-01,3392.8085
2021-02,3264.1015
2021-03,4275.0937
2021-04,4167.7596
2021-05,4677.3251
2021-06,4605.3268
2021-07,4616.2582
2021-08,4776.7196
2021-09,4436.0128
2021-10,4854.0866
2021-11,4689.3135
2021-12,4767.7923
2022-01,3935.0868
2022-02,3928.4852
2022-03,4712.0937
2022-04,4749.1098
2022-05,5173.7153
2022-06,5150.2223
2022-07,5342.837
2022-08,5160.1441
2022-09,5078.5862
2022-10,5404.6702
2022-11,4853.746
2022-12,5379.1316
2023-01,4434.7719
2023-02,4346.1517
2023-03,5189.392
2023-04,5006.8015
2023-05,5675.8614
2023-06,5584.4913
2023-07,5668.486
2023-08,5568.2516
2023-09,5616.5469
2023-10,5817.8255
2023-11,4913.0678
2023-12,5497.0246
2024-01,4573.2226
2024-02,4494.8384
2024-03,5014.5816
2024-04,5418.8526
2024-05,5618.1155
2024-06,6206.8793
2024-07,5592.7573
2024-08,6082.1121
2024-09,5358.4246
2024-10,5730.4832
2024-11,5433.158
2024-12,5222.9563
2025-01,4660.9218
2025-02,4450.9963
2025-03,5141.8122
2025-04,4753.0907
2025-05,5352.7329
2025-06,5199.182
2025-07,5346.6905
2025-08,5587.213
2025-09,5216.8312
2025-10,5636.3865
2025-11,5121.8767
2025-12,5308.7864
2026-01,4594.1301
